country,code,share,gdp,population,continent
Algeria,DZA,37,11826.16642,40551398,Africa
Argentina,ARG,28,23189.52745,43508459,South America
Australia,AUS,10,48197.43119,24262710,Oceania
Austria,AUT,10,53269.3062,8747306,Europe
Azerbaijan,AZE,39,14238.78414,9736041,Asia
Bahrain,BHR,13,47937.70906,1425793,Asia
Belarus,BLR,36,17822.60659,9445638,Europe
Belgium,BEL,13,49828.96291,11354407,Europe
Bolivia,BOL,29,8202.544232,11031822,South America
Bosnia and Herzegovina,BIH,31,13194.3254,3386263,Europe
Brazil,BRA,16,14451.15284,206163056,South America
Bulgaria,BGR,19,20513.10095,7151948,Europe
Cameroon,CMR,45,3524.443041,23926549,Africa
Canada,CAN,9,47457.58535,36382942,North America
Chile,CHL,16,24531.35774,18209072,South America
China,CHN,22,13487.82248,1414049353,Asia
Colombia,COL,17,14194.51566,48175048,South America
Costa Rica,CRI,26,19736.6653,4899336,North America
Croatia,HRV,24,25599.84362,4208611,Europe
Czechia,CZE,17,37014.95929,10618868,Europe
Denmark,DNK,11,54185.00848,5711346,Europe
Dominican Republic,DOM,27,16166.61153,10397738,North America
Ecuador,ECU,22,11551.61597,16491116,South America
Egypt,EGY,37,10795.80874,94447071,Africa
Estonia,EST,21,32130.30088,1316507,Europe
Finland,FIN,12,46206.78781,5497714,Europe
France,FRA,13,43705.14756,64667590,Europe
Georgia,GEO,31,12963.74396,4015457,Asia
Germany,DEU,11,51803.23542,82193770,Europe
Greece,GRC,17,28226.90728,10615183,Europe
Guatemala,GTM,41,8206.047987,16583079,North America
Hong Kong,HKG,14,58096.29926,7243541,Asia
Hungary,HUN,18,28170.82136,9752970,Europe
India,IND,30,5851.39488,1324517250,Asia
Indonesia,IDN,31,10531.11097,261556386,Asia
Iran,IRN,24,14205.21163,79563991,Asia
Ireland,IRL,9,72864.48914,4695790,Europe
Israel,ISR,16,38234.72448,8108984,Asia
Italy,ITA,14,40837.73763,60663068,Europe
Japan,JPN,14,40031.27076,127763267,Asia
Jordan,JOR,30,10036.54362,9554286,Asia
Kenya,KEN,52,3952.758132,49051531,Africa
Kuwait,KWT,18,54708.97979,3956862,Asia
Latvia,LVA,19,27503.1773,1974265,Europe
Lithuania,LTU,23,31925.80342,2889555,Europe
Malaysia,MYS,21,25541.77051,30684652,Asia
Mexico,MEX,23,19539.26125,123333379,North America
Montenegro,MNE,18,18797.90562,627271,Europe
Morocco,MAR,35,7106.241249,35126274,Africa
Netherlands,NLD,12,53847.82655,16981285,Europe
New Zealand,NZL,14,41672.10124,4659265,Oceania
Nigeria,NGA,59,5284.893228,185960244,Africa
North Macedonia,MKD,32,15491.74359,2080746,Europe
Norway,NOR,12,63104.10039,5250950,Europe
Pakistan,PAK,42,4421.581929,203631356,Asia
Peru,PER,26,12403.68714,30926036,South America
Philippines,PHL,42,7705.05377,103663812,Asia
Poland,POL,17,28682.69393,37989218,Europe
Portugal,PRT,17,31847.53773,10325540,Europe
Qatar,QAT,12,95601.80731,2654379,Asia
Romania,ROU,30,25145.01335,19796280,Europe
Russia,RUS,30,25490.70826,145275374,Europe
Saudi Arabia,SAU,21,48625.84382,32443443,Asia
Serbia,SRB,24,16182.82169,8853963,Europe
Singapore,SGP,7,91307.50362,5653625,Asia
Slovakia,SVK,18,29250.11804,5442001,Europe
Slovenia,SVN,15,34858.51195,2074205,Europe
South Africa,ZAF,19,12702.91708,56207649,Africa
South Korea,KOR,13,39814.65893,50983446,Asia
Spain,ESP,14,38477.57918,46634131,Europe
Sweden,SWE,13,51334.43203,9836003,Europe
Switzerland,CHE,9,68663.24382,8379915,Europe
Thailand,THA,26,16782.09867,68971313,Asia
Tunisia,TUN,22,10524.9136,11303942,Africa
Turkey,TUR,21,26385.00194,79827868,Asia
Turkmenistan,TKM,38,13562.52848,5662371,Asia
Ukraine,UKR,38,11534.638,44713708,Europe
United Arab Emirates,ARE,14,66510.90299,9360975,Asia
United Kingdom,GBR,8,45268.73045,66297944,Europe
United States,USA,6,59112.24221,323015992,North America
Uruguay,URY,19,22724.02213,3424139,South America
Uzbekistan,UZB,30,6346.334778,31441753,Asia
Vietnam,VNM,39,6767.778832,93640435,Asia